customer_id,first_name,last_name,email,phone,birth_date,registration_date,country,city,postal_code,address,segment,newsletter_subscribed
CUST_10000,Jeanne,Imbert,fernandesnath@example.com,06 32 24 48 76,1957-11-29,2023-12-03,France,Fournier,84486,"821, chemin Élise Morel, 18211 Da Silva-sur-Paul",Basic,False
CUST_10001,Pénélope,Lagarde,cboucher@example.org,0222984672,1975-10-14,2024-05-03,France,Gosselinnec,60377,"63, avenue Véronique Marie, 44903 Torres-sur-Mer",Premium,True
CUST_10002,Olivier,Lacombe,constancelanglois@example.org,+33 (0)3 90 48 81 86,1986-12-24,2024-10-13,France,Saint Alain,50985,"86, rue de Delorme, 85279 Humbert",Basic,False
CUST_10003,Eckhart,Scholl,bruno15@example.com,+49(0) 035346152,1975-02-17,2025-06-25,Germany,Neustadt am Rübenberge,14114,"Ditschlerinstr. 6/6, 88150 Saulgau",Premium,False
CUST_10004,Jose Antonio,Caparrós,oscarpalacio@example.net,+34 848 74 33 82,1995-03-05,2025-01-10,Spain,Barcelona,46063,"Glorieta de Benita Álamo 57 Apt. 57 , Lleida, 35191",Standard,True
CUST_10005,Capucine,Vallée,aimechauvin@example.com,0145469976,1972-05-31,2023-01-20,France,Barre,52647,"2, rue de Robin, 18708 Garnier",Standard,True
CUST_10006,Alphonse,Morvan,genevievemoulin@example.org,0478737462,1985-03-06,2025-09-03,France,Roche-la-Forêt,23740,"760, boulevard de Pelletier, 26746 Saint AgatheBourg",Standard,False
CUST_10007,Stéphane,Dias,,+33 (0)4 82 92 94 43,1973-11-04,2024-10-30,France,Joly-sur-Rousseau,05250,"rue Menard, 75358 Payet-la-Forêt",Standard,True
CUST_10008,Andrée,Rivière,zoe71@example.com,,1950-03-23,2023-07-25,France,Coulon,59283,"83, chemin Diane Marques, 97683 Hoareau-la-Forêt",Basic,True
CUST_10009,Michelle,Gallet,wjoseph@example.org,03 66 26 54 23,1993-06-17,2023-03-06,France,GérardBourg,33867,"33, chemin Rolland, 92961 Galletnec",Standard,True
